form	sense	year	origin	Loan
árgyélus ×	〈mildes Fluchw〉,  herumirrend, närrisch,  böse, schlimm,  potztausend!	1844.0		False
ária	Musikstück,  Arie,  Melodie,  singen,  rumoren 	1778.0	Italian	True
arisztokrácia	Herrschaft der Großgrundbesitzer,  Hochadel,  führende Schicht 〈im Gesellschaftsleben〉	1708.0		False
árja	altpersisch,  indoeuropäisch,  indoiranisch,  Arier 	1857.0	international word	True
árkád	Arkade	1853.0	German	True
arkangyal	Erzengel,  Himmelsdonnerwetter! 	1372.0	loan	True
árkány ×	Fangschlinge,  Falle 	1789.0	Turkic	True
árkus ×	Papierbogen,  Schwibbogen,  Baugerüst für Wölbungen,  Kreisbogen	1512.0	Latin	True
armada †	Armee,  Kriegsflotte	1609.0		False
ármális ∆	Adelsbrief, Freibrief,  mit Adelsbrief versehen	1614.0		False
ármányos ∆	Bauer,  gottlos,  bübisch,  mutwillig, listig,  intrigant	1692.0		False
ármány	intrigant,  Intrige, anyag, férfi	1804.0		False
ármás ×	Oberbeamter am rumänischen Woiwodenhof,  Häscher, Heiduck,  Räuber, Freibeuter,  mutwillig	1572.0		False
arnót †	Albaner,  albanisch	1603.0	Ottoman-Turkic	True
árnyék	Schatten,  Laubhütte, Schuppen,  Abbild,  schattige Noreite,  Spargel,  Schutz,  Abort,  beschattet werden 	1275.0		False
árnyékszék ∆	Abort	1508.0	compound	False
árok	Grube, Graben,  Wallgraben,  Tal,  Graben ziehen	1055.0	Turkic	True
aroma	Gewürz,  Wohlgeschmack, Aroma,  Aromastoff	1416.0	Latin	True
árpa	Gerste,  Gerstenkorn 〈am Auge〉	1086.0	Turkic	True
árt¹	schaden,  schädlich	1456.0		False
árt²	sich 〈meistens unbefugt〉 in etw einmischen,  einweihen	1512.0	paronymy	False
ártány	verschnittener Eber	1075.0	uncertain	False
artézikút	artesischer Brunnen	1832.0		False
articsóka	Artitschoke	1585.0	loan	True
artikulál	artikulieren	1840.0		False
artista	Künstler,  Artist	1789.0	international word	True
áru	Ware,  Verhandeln,  Verrat, elárusít,  verkaufen,  Verkäufer, Verräter,  Verkäufer, Verräter,  Verkäufer, Verräter 	1138.0		False
árva	Waise,  einsam, verlassen,  verwitwet,  elternlos	1152.0	Proto-Finno-Ugric	False
árvácska	Waisenkindchen,  Stiefmütterchen,  Tausenchön	1642.0	derived word	False
árvalányhaj	Art Farn- bzw Heilkraut,  Federgras,  Art Farn- bzw Heilkraut	1585.0	compound	False
árverés	Versteigerung	1831.0	compound	False
árvíz	mit großer Kraft strömender Fluß,  Überschwemmung	1395.0	compound	False
arzenál	Zeughaus,  Werft der Kriegsmarine	1620.0	international word	True
ás	graben,  Gräber,  Spaten,  Grube,  Ausgegrabenes	1265.0	unknown	False
ásít	den Mund aufsperren,  gähnen,  schnarchen,  wünschen,  sich räuspern	1372.0	onomatopoetic	False
áskál ×	intrigieren,  wiederholt graben, herumwühlen	1604.0		False
áspa ×	Haspel	1405.0		False
aspirál	nach etw streben	1563.0		False
aspiráció	Hauchlaut,  Bestrebung	1806.0		False
aspiráns	Bewerber,  wissenschaftlicher Aspirant	1806.0		False
áspis	Art Giftschlange,  zänkisches Weib	1372.0	Latin	True
ásvány	Graben,  Ausgegrabenes, Grabgut,  Mineral,  überaltetes Ding	1055.0	derived word	False
ász	As 〈im Kartenspiel〉,  As 〈im Tennis〉	1804.0	international word	True
aszat	Distel 	1597.0	Slavic	True
aszfalt	Erdpech,  Asphalt, Asphaltdecke,	1577.0	Latin	True
aszik	verdorren, welken, schrumpfen,  ausgedörrter Baum,  Dürre,  Dürre,  Mist, Dünger	1275.0	Proto-Ugric	False
aszkézis	Askese	1792.0		False
aszó	Wasserriß, zeitweiliger Wasserlauf, Trockental	1055.0	derived word	False
ászok	Träger, Lager,  Anmachholz,  Gestell	1480.0	Turkic	True
aszpik	Aspik	1836.0	international word	True
aszpirin	Aspirin	1899.0	German	True
asszír	Assyrer,  assyrisch	1416.0	Latin	True
asszisztál	sich entziehen,  beistehen, stützen	1623.0		False
asszó	Assaut	1876.0	German	True
asszony	Königin, Herrin,  Frau,  verheiratete Frau,  Fräulein,  weibliches Geschlecht,  Fraulichkeit	1150.0	Alanic	True
asztag	Heuschober, Feimen,  Stein-, Holzhaufen,  Scheune	1395.0	Slavic	True
asztal	Tisch,  Verpflegung, Kost,  viereckige Wune,  Brettergerüst an der Dreschmaschine, an der Seite des Kornschobers usw.,  Tischler	1293.0	Slavic	True
asztalnok ∆	Truchseß,  Tafeldecker, Servierer	1382.0	Slavic	True
asztma	Asthma	1695.0		False
asztrakán ×	Astrachanpelz,  aus Astrachan verfertigt 〈Wintermantel usw.〉	1807.0	international word	True
aszú	trocken 〈Gelände, Flußbett usw.〉, verdorrt 〈Pflanze〉,  ausgedorrt 〈von Krankheit, Greisenalter〉,  getrocknet 〈Fisch〉, gedörrt 〈Obst〉,  mager,  zehrend 〈Krankheit〉,  aus Trockenbeeren zubereitet 〈Wein〉,  Ausbruch〈wein〉,  Trockenbeere,  Dürre	1217.0	derived word	False
átabotás ×	großstückig	1577.0		False
átalag ∆	Faß, Holzgefäß 〈auch als Hohlmaß〉	1395.0		False
átall	sich schämen, sich sträuben,  ehren	1416.0	derived word	False
ateizmus	Atheismus	1752.0		False
atilla ∆	schnürenbesetzte ungarische Jacke,	1833.0	internal	False
atka	Krätzmilbe,  Zecke 	1794.0	unknown	False
átkoz	verdammen,  schimpfen, fluchen,  aufreizen, verbittern,  mit Bannfluch belegen,  Verfluchung	1372.0		False
átlag	Diagonale, Durchmesser,  Mittelmaß, Durchschnitt,  im Durchschnitt,  durchschnittlich,  diagonal	1851.0	internal	False
atlasz¹	Atlas 〈Seidenstoff〉	1380.0	Wanderwort	True
atlasz²	Landkartenbuch, Atlas	1692.0	international word	True
atléta	kämpfer,  Athlet,  athletisch	1636.0		False
átló	Durchmesser,  Diagonale	1786.0	derived word	False
atmoszféra	Ausdünstung,  Atmosphäre,  allgemeine Stimmung, Umgebung,  Luftdruck	1757.0	international word	True
atom	Atom, winziges Stück,  Kernwaffe	1647.0		False
atracél	Rainfarn, Wurmkraut,  Borretsch,  ebnyelvű fű,  Ochsenzunge,  Milte 	1401.0	Slovakian	True
attakíroz ∆	attackieren,  disputieren, zanken,  herumfuchteln	1663.0		False
attrakció	Anziehung,  Prachtnummer, Attraktion	1842.0	international word	True
atval †	Stiefvater	1395.0	compound	False
atya	Vater,  Priester, Mönch,  allverehrter Mann, Obmann,  Ahn,  Gott,  geistiger Vater einer Sache	1181.0	Proto-Uralic	False
atyafi	Mitmensch,  Bruder, Geschwister,  verwandter,  Mönch, Nonne,  Gemahlin,  Glaubensgenosse,  Bauer, 〈als Anrede〉,  Lanmann,	1372.0	compound	False
augusztus	August	1416.0	Latin	True
aula	Aula,  Studentenschaft,  Herrscherhof	1653.0		False
autó	Auto	1909.0	international word	True
autóbusz	Autobus	1906.0	international word	True
autogram	Autogramm	1900.0	German	True
automata	Automat,  automatisch	1822.0		False
automatizál	automatisieren	1935.0	international word	True
automobil ∆	Automobil	1894.0	international word	True
autonómia	Autonomie	1826.0		False
avagy	oder,  ob,  wenigstens,  ungefähr	1372.0	compound	False
avar¹	dürres Gras,  verdorrtes Grasland,  dürres Laub 〈am Boden〉,  dürr, verdorrt,	1485.0	Proto-Finno-Ugric	False
avar²	Aware,  awarisch	1559.0	Latin	True
avas¹ ×	Wald mit verwilderter Vegetation, Urwald,  Bannwald,  verwildertes Röhricht,  verfaulende Vegetation,  kahl werdender Wald,  alt, mächtig, unwirklich 〈Wald〉,  verwildert 〈Wald〉	1232.0	semantic change	False
avas²	ranzig,  alt,  veraltet, überaltert	1580.0	derived word	False
avat	rottend verdichten 〈Hanf, Flachs〉, dekatieren,  sich 〈meinstens unbefugt〉 in eine Sache mischen,  einsegnen, feierlich einsetzen,  einweichend zubereiten 〈Lebensmittel〉,  eindringen lassen, impfen,  pfropfen 〈Pflanzen〉,  jmdn in etw einweihen,  〈nach Fertigwerden〉 feierlich einweihen,  sich anschließen,  sich 〈meistens unbefugt〉 in eine Sache mischen	1269.0	derived word	False
avik¹ ∆	eindringen, sich einsaugen,  geringer werden, dicht werden	1565.0		False
avul	altern,  zugrunde gehen,  unempfindlich werden,  vereitern,  überholt werden,  sich entwöhnen	1416.0		False
avít ∆	abnützten	1604.0	Proto-Finno-Ugric	False
az¹	jener,  jener,  auf diejenige Weise	1372.0		False
az²	der, die, das	1372.0		False
azaz	das heißt 〈Konj.〉	1372.0	compound	False
azbeszt	Art Mineral, daraus verfertigtes unbrennbares Material	1655.0	international word	True
ázik	naß werden, durchtränkt werden,  einweichen,  Gemüse, saftige Speise,  Aufgußtierchen	1231.0	uncertain	False
azonban	sofort,  indessen,  dabei, so,  aber,	1416.0	lexicalized inflected word-form	False
azonnal	sofort	1474.0	lexicalized inflected word-form	False
azonos	identisch	1810.0	internal	False
azúr	Azur	1789.0	international word	True
azután	dann,  und dann,	1372.0		False
azsag ×	Feuerhaken,  Zeigefinger,  Ofenkehrwisch,  glühende Kohle,  Knüttel, Stange	1550.0	Slavic	True
ázsió	Wert,  Aufgeld	1842.0	international word	True
azsúr	Ajourstickerei	1843.0	loan	True
ábráz  †	Bild, Gestalt	1372.0		False
asszír	Assyrer,  assyrisch,  Assyrer,  Assyrer,  Assyrer,  Assyrien 〈ON〉,	1416.0		False
aszkézis	Askese	1792.0		False
atléta	Ringkämpfer, Kämpfer,  Sportler, der moderne Athletik treibt,  atletisch	1636.0		False
bab	Pferdebohne,  Gartenbohne,  Bohnen-,  getupft	1211.0	Slavic	True
báb	kleines Mädchen,  Spielpuppe,  Säugling,  puppenförmiger Gegenstand, Maskenfigur,  Puppe der Insekten,  Strähne 〈Garn usw〉,  Modepuppe,  Puppenspielfigur,  willenlose Puppe,  Pupille,  Docke 〈am Webstuhl〉	1055.0	onomatopoetic	False
baba	Kindchen, Säugling,  Frau,  Spielpuppe,  die Geliebte,  Docke 〈am Webstuhl〉, Bestandteil verschiedener Webergeräte,  Figur im Kegelspiel,  verbundener Finger,  Kindchen	1138.0	onomatopoetic	False
bába	altes Weib,  Hebamme,  Großmutter,  Hexe,  Marktfrau	1111.0	Slavic	True
babér	Lorbeere,  Lorbeerkranz 〈als Symbol des Ruhmes〉, Ruhm	1552.0	Wanderwort	True
babirkál ×	herumsuchen, pusseln	1587.0		False
bábó ×	Fuß, Füßchen	1641.0		False
babona	Zauberei, Hexerei,  Aberglaube	1533.0	Slovakian	True
bábu	Puppe,  Kegel, Figur 〈in versch Spielen〉,  Marionette 〈pejor〉 	1693.0	onomatopoetic	False
babug ∆	Brustwarze,  Euter	1585.0	derived word	False
babuk ×	Wiedehopf,  altes Weib	1600.0		False
babusgat	liebkosen, liebvoll pflegen,  mit etw länger beschäftigt sein,  sich mit Kleinigkeiten abgeben,	1628.0	derived word	False
bacilus	Bazillus	1883.0	international word	True
bács ×	hint, Schäfer,  Senne 〈Hirtenjunge〉	1462.0	Romanian	True
bácsi	Onkel, bejahrter Mann 〈auch als Anredewort〉	1787.0	derived word	False
badar	dämmlich	1803.0	internal	False
bádog	Blei, Zinn,  unedles Metall,  Blechgefäß,  blechern,  Klempner	1329.0	unknown	False
bagaria	Juchten,  Riemen,  Stiefel,  unverschämt, schamlos	1552.0	Ottoman-Turkic	True
bagatell	Bagatelle	1703.0	international word	True
bagazia ∆	gefärbte Leinwand,  Frauenrock	1544.0	Croatian or Serbian	True
bagázsia ∆	gepäck,  Pöbel, Pack	1644.0		False
bagó	Tabakrest in der Pfeife, Kautabak,  〈mindere〉 Tabakware, Zigarette,  unbedeutender Gegenwert, ein Pappenstiel,  Tabak kauen,  rauchen	1836.0	loan	True
bagócs ×	Stechfliege	1799.0		False
bagóhit ×	wilde Ehe	1870.0	compound	False
bagoly	Eule,  Nachteule 〈vom Menschen〉,  Schuljunge,  der Alte,  dumm	1211.0	unknown	False
bagzik	buhlen,  sich begatten 〈von Tieren〉,  herumgehen	1283.0		False
bágyad	kraftlos, matt werden	1416.0		False
bágyaszt	matt machen	1508.0	onomatopoetic	False
baj	Kampf, Zweikampf,  Ort des Zweikampfes,  Sorge,  Angelegenheit,  Beschwerlichkeit, Plackerei,  Krankheit, Defekt,  Menstruation,  Notdurft,  Hinderniss	1138.0	Croatian or Serbian	True
bajnok	kämpfer,  Kampfläufer,  Held,  Krakeeler,  Meister 〈im Sport〉,  Faustkampf 	1215.0	Croatian or Serbian	True
bajonett ∆	Bajonett	1705.0	international word	True
bajor¹	Bayer,  bayerisch	1213.0	loan	True
bajor² ×	Art frühreifende Weintraube	1585.0	uncertain	False
bájos	Zauberer, Quacksalber,  anmutig, entzückend 	1387.0		False
bajtárs	Kamerad	1754.0	internal	False
bajusz	Schnurrbart,  Ranke,  Bartfäden,  Granne	1522.0	unknown	False
bajvívás	Kampf, Zweikampf	1395.0		False
bak	bock,  Widder,  Sturmbock,  Art Gerüst aus Holz,  Kutschbock,  Art Turngerät	1138.0	loan	True
baka ∆	Muschkote	1799.0	paronymy	False
bakacsin ∆	Art Stoff für Sarg- bzw Bahrendecke	1387.0	loan	True
bakafántos ×	hartnäckig, widerspenstig,  krittelig, streitsüchtig	1833.0	compound	False
bakancs	schwerer Schnürstiefel,  Infanterist 	1519.0	derived word	False
bakator ∆	Rosentraube,  Rosentraubenwein	1590.0	unknown	False
bakcsó	Nachtreiher 	1820.0	derived word	False
bakelit	Bakelit	1928.0	international word	True
bakfis	halbwüchsiges Mädchen	1869.0	German	True
bakló ×	Beere,  fleischiger Lappen 〈am Kinn mancher Tiere〉,  Quaste, Zierat,  Auge 〈an Bäumen〉	1138.0	unknown	False
bakó ∆	Scharfrichter,  Metzger,	1229.0	unknown	False
bakol ×	sich entgegensetzen, widerspenstig sein 〈vom Pferde〉,  beschwindeln,  Hanf brechen,  einen Pfahl in die Erde treiben	1138.0		False
baksis	Trinkgeld, kleines Geschenk, Almosen,  Gewinn,  Gebühr	1618.0	Ottoman-Turkic	True
baktat	langsam gehen,  buchstabierend lesen,  Laufen,  humpeln, hinken,  nickend schlummern	1659.0		False
bakter ×	Nachtwächter, Wächter,  Heidruck, Büttel,  Bahnwärter	1638.0	loan	True
baktérium	Bakterium	1883.0	international word	True
bal	linke,  böse,  falsch,  die linke Seite,  die linke Hand,  Linkshänder	1086.0	uncertain	False
bál	Tanzvergnügen	1651.0	German	True
bála	Bündel,  Ballen 〈auch als Maßeinheit〉	1355.0	loan	True
balalajka	Balalaika	1854.0	Russian	True
balaska ×	kleine Axt mit langem Stiel, Handbeil	1669.0	Slovakian	True
baldachin	Baldachin	1626.0	Wanderwort	True
balek	Gimpel, Pimpf	1782.0	Ottoman-Turkic	True
balerina	Ballettänzerin	1867.0	international word	True
balett	Ballett,  Ballettgruppe	1791.0	international word	True
balgatag	einfältig, unsinnig,  herumirrend,  unruhig hin und her gehend,  sich albern verhalten,  verrückt	1372.0		False
balhé	Ungelegenheit, Gefitze,  Lärm, Aufruhr	1862.0	loan	True
balin ×	Rapfen,  Zope,  Döbel,  Schleie	1395.0		False
bális ×	Hausierer, italianischer 〈selten bosnischer od deutscher〉 Wanderkrämer	1799.0		False
balkány ×	flache Sumpfgegend	1498.0	Turkic	True
balkon	Balkon	1788.0	international word	True
ballada	Ballade,  vertontes Gedicht,  Tanzlied,  romantisches Musikwerk	1815.0	international word	True
ballag	schlendern,  versteckt sein,  sich nähern 〈einem vorgerückten Lebensjahr〉,  valedizieren,  Geschlender,  Valediktion,  Rolldistel 	1504.0	onomatopoetic	False
ballaszt	Ballast, überflüssige Last	1845.0	German	True
ballon	Ball,  Luftschiff, Ballon,  Glasbehälter,  Ballonleinwand,  Mantel aus Ballonleinwand 	1793.0	international word	True
bálmos ×	Maisgericht mit Käsemilch, Rahm,  geschmolzener Quark od Käse,  Molken der Schafmilch	1652.0	Romanian	True
bálna	Walfisch	1538.0	Latin	True
balta	Streitaxt,  Handbeil	1429.0	Turkic	True
baltacim ×	Esparsette 	1807.0		False
bálvány	Steinsäule, Grenzstein,  Pfosten,  Götze,  ein Bestandteil der Presse,  riesig, Riesen-,  ein Bestandteil des hölzernen Schiffes,  Floß,  großer Knüttel, Achse,  mit Steinsäulen versehen,  heidnisch lebend, bálványimádó	1001.0		False
balzsam	Balsam	1265.0	Wanderwort	True
bamba	stumpfsinnig, tölpelhaft,  taub	1400.0	derived word	False
bambusz	Bambus	1794.0	international word	True
bán¹	bereuen,  übelnehmen,  bedauern,  beneiden,  Schader erleiden,  trauern	1372.0	uncertain	False
bán²	Ban,  Kommandant einer Grenzfestung,  Herr	1138.0	Croatian or Serbian	True
banán	Bananenbaum,  Banane	1795.0	international word	True
banda	Zigeunerkapelle,  Diebsbande,  Trupp, Schar,  vier Karten derselben Farbe 〈im Kartenspiel〉	1787.0	German	True
bandérium ∆	Reiterbatallion,  Ehrentruppe aus Reitern	1653.0	loan	True
bandita	verbannt,  Bandit	1642.0	Italian	True
bandukol	schlendern,  herumstolpern	1850.0	onomatopoetic	False
bandzsal ×	schielend	1781.0		False
bánik	sich um etw od jmdn kümmern,  mit jmdm umgehen,  gebrauchen, handhaben,  heilen,  geschlechtlich verkehren 	1470.0	paronymy	False
bank	Tisch des Geldwechsels,  Geldinstitut,  Gelsumme 〈im Kartenspiel〉	1541.0	Wanderwort	True
banka	Wiedehopf 	1702.0	paronymy	False
bankett	Festmahl	1649.0	international word	True
bankír ∆	Bankier,  Bankhalter 〈im Kartenspiel〉	1792.0		False
bankó	Banknote,	1785.0	internal	False
bánt	behelligen,  mißhandeln,  hindern,  plagen 〈Krankheit〉,  beleidigen,  anrühren	1138.0	derived word	False
banya	altes Weib,  bösartige Alte,  Hexe,  Großmutter,	1723.0	segmentation error	False
bánya¹	Bergwerk,  Metall,  Bergwerk	1217.0	Slavic	True
bánya² ×	Heilbad im Freien Bad,  Grube, in der Lehmziegel gestampft werden,  zerwühltes Lager von Schweinen	1577.0	Croatian or Serbian	True
baptista	Baptist	1808.0	international word	True
bár¹	Schanklokal,  Art Nachtlokal	1834.0	international word	True
bár²	wenn nur,  wohlan,  wenigstens,  obwohl	1531.0	blending	False
baráber ×	Arbeitsstelle immer wechselnder, heimatloser Arbeiter	1896.0	loan	True
baraboly ×	Kälberkropf,  Kerbel,  Kartoffel,  Erdnuß 	1588.0	Wanderwort	True
barack	Pfirsichbaum,  Pfirsich,  Aprikose,  Aprikosenbaum,  Kopfnuß	1395.0	Slavic	True
barakk	Baracke	1738.0	international word	True
barangol	umherschweifen, streifen,  herumirren	1786.0		False
bárány	Lamm,  Lammpelz	1206.0	Slavic	True
bárányhimlő	Windpocken	1719.0	German	True
barát	Mönch,  Nächster,  Freund,  Freund, szerzetesi állapot	1156.0	Slavic	True
barátfüle	Tascherln 〈Süßspeise〉,	1795.0	compound	False
baratina ×	Geliebte,  Freundin,  Sippschaft	1583.0	Slavic	True
barátkeselyű	Mönchsgeier 	1881.0	compound	False
barázda	Furche	1086.0	Slavic	True
barázdabillegető	Bachstelze 	1585.0	compound	False
barbár	Fremdling 〈haupts Nichtjude, Nichtgrieche, Nichtrömer〉,  Ungebildeter,  grober Mensch,  fremd, nichtgriechisch, nichtrömisch 〈Volk〉,  barbarisch	1416.0	Latin	True
bárca ∆	Zettel,  Marke, Zeichen,  eingetragene Prostituierte	1819.0	unknown	False
bárcs ×	Benediktendistel, Bärenklau	1628.0		False
bárd¹	Waltück, welches ein einziger Mann in einem Tage fällen kann,  Art Beil, Art Axt,  Hellebarde	1214.0	loan	True
bárd²	Sänger, Barde	1788.0	international word	True
bárgyú	einfältig,  sanftmütig,  wehmütig, mißmutig	1792.0	derived word	False
barhent ∆	Barchent	1697.0	German	True
barikád	Barrikade	1832.0	international word	True
bariton	Singstimme zwischen Tenor und Baß,  Art Musikinstrument,	1838.0	international word	True
barka	Palmkätzchen der Weide, Blütenkätzchen,  Haarlocke	1636.0	internal	False
bárka	Barke,  Fischbehälter,  Kiste,  Wagen	1251.0	Croatian or Serbian	True
barkács ×	Sammler, Kleinfischer,  Bienenzüchter,  Bastler	1402.0		False
barkó¹ ∆	Koteletten	1809.0	Slavic	True
barkó² ×	Angehöriger einer ungarischen ethnographischen Gruppe in Nordostungarn,  von dieser ethnographischen Gruppe bewohnt, auf diese Gruppe bezüglich,  dumm, unanständig	1833.0	uncertain	False
barkóca ×	Elsbeerbaum,  Elsbeere	1257.0	Slavic	True
barkochba	Art Gesellschaftsspiel,  ein Fragespiel mit Ja- und Nein-Antworten	1922.0		False
barlang	Grotte, Höhle,  Unterschlupf,  Spelunke 	1233.0	Slavic	True
barna	braun	1255.0	loan	True
báró	hochadeliger Würdenträger,  〈als Freiherrntitel〉,  Reicher	1291.0	loan	True
barokk	barock,  merkwürdig, sonderbar,  Kuriosität,  Barockstil	1842.0	international word	True
barom	Vieh 〈Koll〉, Rind,  Herde,  vieh 〈pejor〉,  riesengroß,  Unsinn	1247.0	Turkic	True
barométer	Barometer,  Maß	1748.0	international word	True
baromfi	Vieh 〈bez Ziege, Schaf〉,  Geflügel,  Jungtier	1519.0	compound	False
bársony	 Samt,  Samtartigkeit	1221.0	Turkic	True
bárzsing ×	tierischer Magen, tierischer Darm,  Speiseröhre,  schleimiges, fettes Fleisch am Schweinsdarm	1799.0	unknown	False
basa	Provinzstatthalter 〈in der alten Türkei〉,  Gewaltherrscher,  als Gewaltherrscher handeln 	1490.0	Ottoman-Turkic	True
